Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.721 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='13a8acaf-956a-478f-9e5c-0985bb46d76d' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.729 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 166: NodeDownloadProgress(event_id='9f127ec5-5415-416d-80af-c311e5735b4c' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.730 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='9f127ec5-5415-416d-80af-c311e5735b4c' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.739 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 167: NodeDownloadProgress(event_id='f7e84536-8728-4bab-9a95-988fd524ae27' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.739 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='f7e84536-8728-4bab-9a95-988fd524ae27' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.755 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 168: NodeDownloadProgress(event_id='2b69fb12-e325-46c0-8c71-f7a99b5b0b20' download_progress=DownloadCompl
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.757 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='2b69fb12-e325-46c0-8c71-f7a99b5b0b20' download_progress=DownloadCompl
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.778 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 169: NodeDownloadProgress(event_id='83b22c46-acec-4719-a75a-c36ae11ab15c' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.782 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='83b22c46-acec-4719-a75a-c36ae11ab15c' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.783 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 170: NodeDownloadProgress(event_id='cb8ddc19-cd62-49d1-aa0d-6cb240ce36c8' download_progress=DownloadPendi
