Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: State 'stop-sigterm' timed out. Killing.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Killing process 1070975 (.exo-wrapped) with signal SIGKILL.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Killing process 1071018 (python3.13) with signal SIGKILL.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Main process exited, code=killed, status=9/KILL
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Failed with result 'timeout'.
Feb 14 01:01:32 gremlin-1 systemd[1]: Stopped exo Distributed AI Inference Service.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Consumed 1min 31.946s CPU time, 16.7G memory peak, 10.9G read from disk, 408K written to disk, 8.7G incoming IP traffic, 197.1M outgoing IP traffic.
Feb 14 01:01:32 gremlin-1 systemd[1]: Starting exo Distributed AI Inference Service...
Feb 14 01:01:32 gremlin-1 systemd[1]: Started exo Distributed AI Inference Service.
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.575 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='d5e36cbb-9f7c-43f3-91ff-7b9e50d103f9' download_progress=DownloadPendi
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.577 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='f2f964e8-c1e0-4a5f-9dba-354bb2c052c8' download_progress=DownloadPendi
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.686 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 7: NodeDownloadProgress(event_id='7d98a2e7-f12b-41bc-bcfb-085ff041d704' download_progress=DownloadPendi
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.689 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='7d98a2e7-f12b-41bc-bcfb-085ff041d704' download_progress=DownloadPendi
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.719 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 8: NodeDownloadProgress(event_id='375f9092-44d3-4d4e-b84a-f648b2b7e311' download_progress=DownloadPendi
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.720 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='375f9092-44d3-4d4e-b84a-f648b2b7e311' download_progress=DownloadPendi
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.800 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 9: NodeDownloadProgress(event_id='3f64886d-3583-4ab0-a46d-1714081e618d' download_progress=DownloadPendi
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.801 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='3f64886d-3583-4ab0-a46d-1714081e618d' download_progress=DownloadPendi
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.839 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 10: NodeDownloadProgress(event_id='acfe6f09-e1c3-4a3d-b822-400d2ce323b6' download_progress=DownloadCompl
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.840 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='acfe6f09-e1c3-4a3d-b822-400d2ce323b6' download_progress=DownloadCompl
