Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.161 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='18617919-392a-4895-a0c0-09ae8e19696b' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.163 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='5fed3330-4b54-40ee-bab0-81941974fdc7' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.215 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1542: NodeDownloadProgress(event_id='e92a9f09-6c7e-4f09-bcd6-981663e044fb' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.216 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='e92a9f09-6c7e-4f09-bcd6-981663e044fb' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.223 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1543: NodeDownloadProgress(event_id='37b85774-c6af-4d82-a61e-22b65504bde0' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.224 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='37b85774-c6af-4d82-a61e-22b65504bde0' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.227 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1544: NodeDownloadProgress(event_id='976935ea-5049-4093-bdae-bad954caf127' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.228 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='976935ea-5049-4093-bdae-bad954caf127' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.239 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 1545: NodeDownloadProgress(event_id='5bd6576d-563f-4da9-a245-eb70dd20dc59' download_progress=DownloadPendi
Feb 14 00:57:36 gremlin-1 exo[1070975]: [ 00:57:36.239 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='5bd6576d-563f-4da9-a245-eb70dd20dc59' download_progress=DownloadPendi
